number,title,createdAt,mergedAt,additions,deletions,changedFiles,url
"5025","fix(workrooms): complete overseer delivery closeout","2026-09-03T06:02:43Z","2026-09-03T06:53:38Z","65","20","8","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5025"
"5024","feat(identity): the platform signs its own browser in for UX verification (BI-9369DEB5)","2026-09-03T05:46:45Z","2026-09-03T07:13:32Z","784","44","15","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5024"
"5023","feat(local-ci): the host preflight honours the change scope — a docs-only diff skips only guards that declare code-only inputs (BI-8CDA7F95)","2026-09-03T05:15:09Z","2026-09-03T06:14:32Z","243","33","6","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5023"
"5022","feat(ward): the board, its capacity, and words a shelter actually uses","2026-09-03T05:13:47Z","2026-09-03T10:08:41Z","1375","51","28","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5022"
"5021","doc(workroom): coordinated workrooms — ownership, nesting, and the COO layer","2026-09-03T04:55:25Z","2026-09-03T05:31:07Z","438","0","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5021"
"5020","feat(storefront): adoption waiting list — every listed animal, longest wait first (BI-899D7F00)","2026-09-03T04:35:00Z","2026-09-03T11:55:48Z","1182","72","23","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5020"
"5019","fix(outcomes): finish provider and Pet Rescue closure","2026-09-03T04:12:42Z","2026-09-03T05:27:27Z","427","41","17","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5019"
"5018","fix(federation): a mirrored deferral carries its attribution, never a bare deferred (BI-9DA5F179)","2026-09-03T04:11:37Z","2026-09-03T04:44:56Z","247","11","13","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5018"
"5017","fix(local-ci): every reader of the gate record consults every slot, and a PASS retires the losing sibling record (BI-5529B5AC)","2026-09-03T03:53:07Z","2026-09-03T04:19:22Z","525","14","11","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5017"
"5016","fix(worktree): anchor the worktree base on the repository, not the caller (BI-541156EE)","2026-09-03T03:50:28Z","2026-09-03T05:23:35Z","303","2","5","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5016"
"5015","feat(workroom): enforce executable process oversight (BI-3913EB49)","2026-09-03T03:37:06Z","2026-09-03T04:05:01Z","1438","57","28","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5015"
"5014","docs(flow): bind durable wait objective coverage","2026-09-03T03:29:54Z","2026-09-03T03:50:30Z","12","0","1","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5014"
"5013","docs(review): bind BI-DE terminal-writer objectives","2026-09-03T02:38:33Z","2026-09-03T02:51:00Z","52","0","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5013"
"5012","doc(specs): work shapes — kernel rulings and execution readiness (BI-B5C8FEFC)","2026-09-03T01:38:18Z","2026-09-03T01:52:02Z","32","10","1","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5012"
"5011","doc(specs): delivery shape lives on the Workroom; claim asks when unclear (BI-B5C8FEFC)","2026-09-03T01:18:11Z","2026-09-03T01:32:34Z","32","6","1","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5011"
"5010","fix(federation): the work-sync marker prefilter no longer hides an owned item that mentions the marker in prose (BI-C97CE534)","2026-09-03T01:00:47Z","2026-09-03T01:47:57Z","36","9","6","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5010"
"5009","doc(specs): work-shape taxonomy with gates proportional to size and risk (BI-B5C8FEFC)","2026-09-03T00:58:47Z","2026-09-03T01:17:22Z","155","0","1","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5009"
"5008","fix(self-upgrade): the status target is the remote head, not a stale local ref (BI-4746F2A9)","2026-09-03T00:50:04Z","2026-09-03T01:17:22Z","307","48","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5008"
"5007","fix(federation): serve rows that have no prose — NULL column dropped 29 production epics from work sync","2026-09-03T00:48:49Z","2026-09-03T01:17:22Z","21","7","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5007"
"5006","fix(federation): no regex over peer-supplied or derived text in membership proof and health rollup (CodeQL js/polynomial-redos)","2026-09-02T20:59:15Z","2026-09-02T21:22:32Z","33","8","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5006"
"5005","feat(federation): one health sentence for backlog sync — In step / Behind by / Broken because (EP-ZERO-CONFIG-FEDERATION §5.7)","2026-09-02T20:29:11Z","2026-09-02T20:54:56Z","351","51","14","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5005"
"5004","feat(federation): membership-proof pairing — a member's organization certificate enrols it trusted, no click, no TLS overlay (EP-ZERO-CONFIG-FEDERATION §5.6)","2026-09-02T20:18:29Z","2026-09-02T20:44:31Z","1326","50","16","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5004"
"5003","fix(federation): liveness outranks age among trusted links to one peer (EP-ZERO-CONFIG-FEDERATION)","2026-09-02T20:11:30Z","2026-09-02T20:37:57Z","57","10","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5003"
"5002","fix(federation): supersession merges id- and address-keyed views of a peer, and trust outranks age (EP-ZERO-CONFIG-FEDERATION)","2026-09-02T19:42:45Z","2026-09-02T20:05:17Z","96","20","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5002"
"5001","fix(nonprod): a slot goes to a waiter on its own claim, and only if it proves it is alive (BI-B1CB7EC3)","2026-09-02T19:17:48Z","2026-09-02T19:39:30Z","491","47","6","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5001"
"5000","feat(ward): project where each animal is, and how many kennels are free","2026-09-02T19:02:45Z","2026-09-02T20:29:20Z","522","0","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/5000"
"4999","fix(right-now): name the inference the GPU is actually serving (BI-B3AB7FC9)","2026-09-02T18:46:01Z","2026-09-02T19:09:03Z","519","65","16","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4999"
"4998","feat(federation): membership is the only switch — durable identity, peer ledger, one link per peer, no exchange flag, unattended upgrades drain (EP-ZERO-CONFIG-FEDERATION)","2026-09-02T18:42:19Z","2026-09-02T19:09:03Z","1284","70","31","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4998"
"4997","fix(mcp): the committed-schema reader's own git calls were missing safe.directory (BI-6CFC5429)","2026-09-02T14:14:11Z","2026-09-02T15:30:15Z","50","4","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4997"
"4996","fix(github): resolve a read token from the credentials the install actually has (BI-69BBC446)","2026-09-02T14:10:15Z","2026-09-02T14:35:04Z","106","13","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4996"
"4995","fix(workroom): the drive capped rooms before filtering for a shape (BI-72B3FB40)","2026-09-02T13:46:10Z","2026-09-02T14:14:07Z","148","3","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4995"
"4994","fix(workroom): name the field that actually failed a claim, and let a worktree move (BI-69BBC446)","2026-09-02T13:41:23Z","2026-09-02T14:10:09Z","304","33","8","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4994"
"4993","fix(federation): accept prose-length proposedOutcome and resolution in the work-sync page (BI-FF8A57EF)","2026-09-02T08:58:30Z","2026-09-02T09:21:03Z","16","5","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4993"
"4992","fix: bind on the shell worktree path too, and stop the refusal overstating","2026-09-02T07:40:14Z","2026-09-02T08:52:04Z","125","4","6","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4992"
"4991","fix(communications): a declared channel with no adapter fails the build, not the send (BI-8B6C262D)","2026-09-02T07:30:59Z","2026-09-02T07:53:27Z","195","1","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4991"
"4990","fix(data-screening): let source code leave the host untransformed (BI-35FAE2DB)","2026-09-02T07:23:51Z","2026-09-02T07:45:33Z","139","3","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4990"
"4989","fix(local-ci): a gate that could not run must not grade the diff, and one that passed on slot-1 must be pushable","2026-09-02T07:10:34Z","2026-09-02T13:27:56Z","531","105","8","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4989"
"4988","feat(inference): a screen receipt says WHAT the matched message was (BI-40EF7C44)","2026-09-02T06:46:46Z","2026-09-02T07:08:28Z","217","12","14","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4988"
"4987","feat(worktree): the platform owns, sees and bounds its own worktrees (BI-99395B29, BI-0B2F0546)","2026-09-02T06:42:13Z","2026-09-02T13:27:56Z","666","30","14","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4987"
"4986","feat(ux-budget): the route sweep can measure a detail route (BI-DE67A3EC)","2026-09-02T06:03:01Z","2026-09-02T14:13:27Z","372","17","11","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4986"
"4985","feat(coworkers): give the active roster declared shapes, cadences, skills and journeys","2026-09-02T05:54:59Z","2026-09-02T06:42:22Z","3977","2310","43","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4985"
"4984","doc(pet-rescue): re-verify §6c on the next build, and correct one row's evidence","2026-09-02T05:51:15Z","2026-09-02T06:13:46Z","26","1","1","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4984"
"4983","feat(federation): sync the backlog between same-organization installs as real rows, both ways (BI-FF8A57EF)","2026-09-02T05:47:37Z","2026-09-02T06:09:27Z","1205","21","30","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4983"
"4982","fix(operate): a governed refusal is not a tool failure","2026-09-02T05:38:46Z","2026-09-02T06:07:32Z","213","16","5","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4982"
"4981","fix(workroom): create_workroom accepted workShape and dropped it (BI-A967717A)","2026-09-02T05:30:49Z","2026-09-02T05:58:33Z","99","0","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4981"
"4980","fix(cli-adapter): run headless inference outside the project workspace (BI-35FAE2DB)","2026-09-02T05:28:51Z","2026-09-02T06:07:32Z","57","2","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4980"
"4979","fix(inference): name the binding constraint, and stop advising a retry that cannot work (BI-FB184D69)","2026-09-02T05:26:28Z","2026-09-02T05:48:07Z","299","134","8","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4979"
"4978","fix(pre-push-gate): ask for the verdict instead of looking for the file (BI-A167CF8A)","2026-09-02T05:06:01Z","2026-09-02T05:27:01Z","107","1","5","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4978"
"4977","fix(local-ci): retry a renewal we never got an answer to (BI-ECAE03F7)","2026-09-02T05:05:46Z","2026-09-02T05:31:51Z","234","2","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4977"
"4976","fix(nonprod): a capacity reservation requires proof of life","2026-09-02T04:36:07Z","2026-09-02T05:07:49Z","308","2","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4976"
"4975","fix(scheduling): every scheduled job records why it exists (BI-5087F34F)","2026-09-02T04:16:48Z","2026-09-02T05:06:52Z","74","15","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4975"
"4974","feat(workroom): let a room be convened with the activity shape that drives it (BI-A967717A)","2026-09-02T04:11:04Z","2026-09-02T05:08:38Z","192","7","9","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4974"
"4973","fix(workforce): admit the employment definitions to the WorkCapsule source constraint (BI-2624B7EA)","2026-09-02T03:40:35Z","2026-09-02T04:33:03Z","255","1","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4973"
"4972","feat(cockpit): say how many animals are in the shelter, before anything else","2026-09-02T03:39:37Z","2026-09-02T04:36:33Z","257","25","5","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4972"
"4971","fix(worktree-gate): a build denied by allowBuilds policy is classified, not unclassified (BI-6945BEEF)","2026-09-02T03:36:43Z","2026-09-02T04:01:06Z","105","2","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4971"
"4969","fix(mobile): make the iOS app buildable and runnable","2026-09-02T03:01:50Z","2026-09-02T03:23:58Z","416","452","7","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4969"
"4968","feat(federation): read-only operational-posture federated record + projection (Slice 2.1, BI-0585906E)","2026-09-02T02:56:08Z","2026-09-02T03:17:43Z","532","0","7","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4968"
"4967","doc(kernel): platform function never depends on a client (BI-99395B29)","2026-09-02T02:50:45Z","2026-09-02T03:45:33Z","159","3","7","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4967"
"4966","fix(routing): fall through when a local pool refuses, do not wait on it","2026-09-02T02:49:34Z","2026-09-02T03:32:45Z","212","11","6","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4966"
"4965","fix: unblock every worktree, and explain two states that had no words (BI-4D0FCF3A, BI-706530B2, BI-575F0046)","2026-09-02T02:41:59Z","2026-09-02T03:06:07Z","301","83","10","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4965"
"4964","fix(workforce): give the actuator's inputs an operator write path (BI-9252B9EA, BI-C61CEEA9)","2026-09-02T02:40:15Z","2026-09-02T03:06:07Z","335","9","6","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4964"
"4963","doc(deploy): separate shipped from planned MCP transport settings (BI-1AE9D368)","2026-09-02T02:20:42Z","2026-09-02T03:11:00Z","44","13","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4963"
"4962","doc(spec): state the boundary with the managed-cell design (BI-E2E8BD27)","2026-09-02T02:15:53Z","2026-09-02T02:52:21Z","25","0","1","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4962"
"4961","feat(proactive-review-drive): merge-as-delivery + agent-governed review dispatch (EP-4614F35E)","2026-09-02T02:14:07Z","2026-09-02T02:36:23Z","308","22","5","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4961"
"4960","fix(reviewer-route): a capacity deferral is not a writer failure","2026-09-02T01:50:13Z","2026-09-02T02:15:15Z","323","3","6","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4960"
"4959","fix(rescue): make the workforce seeder actually seed, and record what the tranche moved (BI-A30152B6)","2026-09-02T01:48:50Z","2026-09-02T02:09:43Z","404","7","9","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4959"
"4958","fix(scheduling): a scheduled tick resolves its posture through the room (BI-27C8484F)","2026-09-02T01:31:01Z","2026-09-02T01:57:17Z","443","9","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4958"
"4957","fix(inference): a mask with nothing to redact must not fence the turn (BI-67CAF494)","2026-09-02T01:23:32Z","2026-09-02T01:47:00Z","99","2","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4957"
"4956","fix(skill): name leaseId as the release argument for shared nonprod leases","2026-09-02T01:19:41Z","2026-09-02T01:33:11Z","14","2","1","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4956"
"4955","doc(spec): install public reachability — one contract, pluggable providers (BI-E2E8BD27)","2026-09-02T01:12:49Z","2026-09-02T01:34:50Z","215","0","1","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4955"
"4954","fix(backlog): an escalated item must be parked attributably, not disappeared (BI-9DA5F179)","2026-09-02T01:01:28Z","2026-09-02T01:34:33Z","484","23","9","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4954"
"4953","test(release): guard the STT digest watch wiring, not just its script","2026-09-02T00:41:12Z","2026-09-02T01:23:15Z","104","0","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4953"
"4952","fix(self-upgrade): carry the HTTP status behind registry-unavailable","2026-09-01T23:34:31Z","2026-09-02T00:34:38Z","85","11","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4952"
"4951","fix(mcp): answer schema questions from the merge target, not a moving sandbox branch (BI-6CFC5429)","2026-09-01T21:41:52Z","2026-09-01T22:11:37Z","196","5","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4951"
"4950","fix(self-upgrade): record why a run failed, not just that it did (BI-472A57D3)","2026-09-01T21:37:48Z","2026-09-01T21:59:19Z","416","26","9","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4950"
"4949","refactor(proactivity): the room owns drive, not the coworker (BI-87C9C91C)","2026-09-01T21:30:01Z","2026-09-01T22:20:29Z","398","624","26","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4949"
"4948","feat(routing): break-glass informed-risk clearance override — spine (BI-BD88A142)","2026-09-01T21:18:06Z","2026-09-01T21:40:03Z","765","33","20","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4948"
"4947","fix(review): a reviewer that cannot see the change can no longer pass it (BI-82902891)","2026-09-01T21:12:43Z","2026-09-01T22:10:47Z","164","2","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4947"
"4946","feat(workroom-closeout): delivered vs abandoned room disposition, with a resume grace (EP-WORKROOM-CLOSEOUT)","2026-09-01T20:57:09Z","2026-09-01T21:50:49Z","632","34","15","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4946"
"4945","doc(spec): runtime conformance for the universal work formula","2026-09-01T20:43:36Z","2026-09-01T21:04:44Z","127","0","1","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4945"
"4944","fix(workroom): bind a created Workroom to the backlog item it names (BI-CB3AEBBF)","2026-09-01T20:37:37Z","2026-09-01T20:59:54Z","246","32","7","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4944"
"4943","fix(pregate): a queued gate is not a failed gate (BI-465B3D60)","2026-09-01T20:33:06Z","2026-09-01T20:54:19Z","74","0","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4943"
"4942","fix(inference): stop classifying git authorship emails as customer records (BI-EBE25715)","2026-09-01T20:20:29Z","2026-09-01T20:57:52Z","134","7","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4942"
"4941","fix(inference): naming a domain is not evidence of a record in it (BI-67CAF494)","2026-09-01T20:14:13Z","2026-09-01T20:43:04Z","100","5","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4941"
"4940","fix(worktree-gate): parse pnpm ignored-builds by section; classify @scarf/scarf (BI-0E472AE0)","2026-09-01T19:57:13Z","2026-09-01T20:19:01Z","59","7","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4940"
"4939","feat(workroom): declare the standing business-operations shapes (BI-7E7B93DF)","2026-09-01T19:51:01Z","2026-09-01T21:17:08Z","1461","2","7","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4939"
"4938","fix(routing): give confidential coworkers an accurate clearance dead-end (BI-431524DF)","2026-09-01T19:44:32Z","2026-09-01T20:07:24Z","87","1","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4938"
"4937","doc(directory): record Phase 6, and retire two stale blocker diagnoses","2026-09-01T19:40:54Z","2026-09-01T20:00:02Z","65","10","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4937"
"4936","fix(coworkers): enforce shrink-only on the capability ratchet instead of declaring it","2026-09-01T19:35:33Z","2026-09-01T19:57:51Z","134","3","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4936"
"4935","fix(govern): decide mask materiality by reversibility, not by declaration (BI-0064680C)","2026-09-01T19:33:34Z","2026-09-01T19:55:07Z","191","8","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4935"
"4934","doc(superpowers): mark the 2026-08-08 Purpose-Aware umbrella spec+plan superseded","2026-09-01T19:28:27Z","2026-09-01T19:50:36Z","27","2","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4934"
"4933","fix: bind objective mapping to current baseline","2026-09-01T10:05:40Z","2026-09-01T10:27:41Z","28","4","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4933"
"4932","fix: expose terminal readiness recovery packets","2026-09-01T09:12:54Z","2026-09-01T09:40:45Z","796","15","13","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4932"
"4931","fix(workroom): enforce forward stage transitions","2026-09-01T08:36:45Z","2026-09-01T08:58:35Z","116","0","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4931"
"4930","fix: preserve terminal writer source for Codex","2026-09-01T07:45:40Z","2026-09-01T08:18:42Z","39","17","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4930"
"4929","feat(workroom): model coordination relations (BI-662254C6)","2026-09-01T07:22:54Z","2026-09-01T07:47:48Z","374","4","12","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4929"
"4928","docs(ai): mark tool integrity objectives","2026-09-01T07:05:47Z","2026-09-01T07:43:08Z","20","0","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4928"
"4927","docs(ai): mark Codex eligibility objectives","2026-09-01T07:05:45Z","2026-09-01T07:43:08Z","18","0","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4927"
"4926","docs(ai): mark provider trust objectives","2026-09-01T07:05:43Z","2026-09-01T07:43:08Z","18","0","2","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4926"
"4925","fix(review): enforce terminal writer at completion boundary","2026-09-01T06:51:28Z","2026-09-01T07:13:15Z","159","3","4","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4925"
"4924","fix: reject scheduled proposals as executions","2026-09-01T06:25:28Z","2026-09-01T06:52:47Z","34","6","3","https://github.com/OpenDigitalProductFactory/opendigitalproductfactory/pull/4924"
